time,open,close,high,low,volume,Unnamed: 0
1628744760000,2.9624,2.9615,2.9624,2.9615,0.23018241,
1628744940000,2.9455,2.9455,2.9455,2.9455,11.92592526,
1628745000000,2.9431,2.9431,2.9431,2.9431,91.91758154,
1628745060000,2.9418,2.9418,2.9418,2.9418,0.63651557,
1628745120000,2.9365,2.9365,2.9365,2.9365,0.00551801,
1628745180000,2.9349,2.9221,2.9349,2.9221,2117.92653206,
1628745240000,2.9188,2.9162,2.9188,2.9162,92.34,
1628745300000,2.9207,2.9374,2.9374,2.9207,4.53197262,
1628745540000,2.9137,2.9165,2.9174,2.9137,161.99593462,
1628745660000,2.9,2.8978,2.9,2.8937,21.34179819,
1628745780000,2.8777,2.881,2.8845,2.8777,12.69895088,
1628745840000,2.8681,2.8593,2.8681,2.8593,891.82696,
1628745900000,2.859,2.8469,2.859,2.8469,12.35549556,
1628745960000,2.8518,2.8518,2.8518,2.8518,1.3805529,
1628746020000,2.82,2.8197,2.82,2.8197,7.03245313,
1628746080000,2.8084,2.8267,2.8267,2.8084,5954.738,
1628746140000,2.8407,2.8407,2.8407,2.8407,4.12116731,
1628746200000,2.8446,2.8446,2.8446,2.8446,0.05035422,
1628746440000,2.8452,2.847,2.847,2.8439,16.48164096,
1628746500000,2.8256,2.8238,2.8256,2.8238,1269.1721,
1628746560000,2.8216,2.8216,2.8216,2.8216,0.09516243,
1628746620000,2.8244,2.8249,2.8249,2.8239,1222.05118579,
1628746740000,2.832,2.834,2.834,2.832,16.57245684,
1628746980000,2.8414,2.8369,2.8414,2.8369,1067.452,
1628747040000,2.8383,2.8383,2.8383,2.8383,4.13214274,
1628747220000,2.8173,2.8198,2.8198,2.8173,8.41117668,
1628747340000,2.8356,2.8356,2.8356,2.8356,0.68415076,
1628747700000,2.8591,2.8591,2.8591,2.8591,4.10287318,
1628748180000,2.8559,2.8559,2.8559,2.8559,4.10385248,
1628748240000,2.8559,2.8552,2.8559,2.8552,0.13039608,
1628748360000,2.8554,2.8554,2.8554,2.8554,0.00315483,
1628748420000,2.852,2.852,2.852,2.852,0.02540827,
1628748540000,2.8505,2.852,2.852,2.8505,0.13075276,
1628748840000,2.8363,2.8355,2.8363,2.8355,20.63597854,
1628748900000,2.8342,2.8342,2.8342,2.8342,0.7267563499999999,
1628749020000,2.8392,2.8392,2.8392,2.8392,0.00594484,
